0,1,2,3
Grinnell College,361,73,3rd
Kayleigh Kresse,84,12,t-2nd
Hailey Speck,88,16,t-5th
Samanike Hengst,91,19,t-8th
Lauren Yi,98,26,22nd
Emily Adam,109,37,26th
