0,1,2,3
Grinnell College,382,94,2nd
Hailey Speck,91,19,3rd
Kayleigh Kresse,92,20,4th
Lauren Yi,98,26,8th
Samanike Hengst,101,29,t-10th
Emily Adam,129,57,24th
