Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Ragan, Eric",,59.40,Central Open,"May 7, 2010"
,"Swanson, Greg",SR-4,59.68,Central Open,"May 7, 2010"
,"Chavira, Trent",,1:01.44,Central Open,"May 7, 2010"
,"Levy, Sam",SR,1:01.66,Kip Janvrin Open,"Apr 22, 2010"
,"Dorman, Christopher",,1:07.08,Spartan Open,"May 1, 2010"
