Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Breshears, Jackson",SO-2,6.16m,"20' 2.5""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",1.4
,"Breshears, Jackson",SO-2,6.12m,"20' 1""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.7
,"Breshears, Jackson",SO-2,5.98m,"19' 7.5""",2019 Dick Young Invite,"Apr 20, 2019",-1.7
,"Breshears, Jackson",SO-2,5.97m,"19' 7""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.9
,"Breshears, Jackson",SO-2,5.95m,"19' 6.25""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.0
,"Breshears, Jackson",SO-2,5.94m,"19' 6""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.6
,"Breshears, Jackson",SO-2,5.84m,"19' 2""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",1.6
,"Breshears, Jackson",SO-2,5.77m,"18' 11.25""",The Midwest Conference Outdoor T&F Championships,"May 10, 2019",1.1
,"Breshears, Jackson",SO-2,5.77m,"18' 11.25""",Monmouth College Fighting Scots Outdoor Invitational,"May 4, 2019",0.1
,"Jacobs, Tommy",FR-1,5.35m,"17' 6.75""",Emory Classic,"Mar 29, 2019",0.0
