Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Hardman, Ed",SO-2,7.17,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Hardman, Ed",SO-2,7.17,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Hardman, Ed",SO-2,7.27,Darren Young Indoor Classic,"Feb 15, 2014"
,"Hardman, Ed",SO-2,7.31,2014 Hilltop Invite,"Feb 1, 2014"
,"Hardman, Ed",SO-2,7.36,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Warnock, Gavin",SR-4,7.46,Wartburg Invite,"Feb 22, 2014"
,"Braun, Johnathan",FR-1,7.53,Wartburg Invite,"Feb 22, 2014"
,"Hardman, Ed",SO-2,7.53,Wartburg Invite,"Feb 22, 2014"
,"Washington, Jacob",JR-3,8.05,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Hernandez, Luis",JR-3,8.14,2014 Hilltop Invite,"Feb 1, 2014"
,"Hernandez, Luis",JR-3,8.17,2014 Midwest Conference Championships,"Feb 28, 2014"
,"Washington, Jacob",JR-3,8.17,Wartburg Invite,"Feb 22, 2014"
,"Washington, Jacob",JR-3,8.18,Darren Young Indoor Classic,"Feb 15, 2014"
,"Washington, Jacob",FR-1,8.22,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
,"Hernandez, Luis",JR-3,8.28,Darren Young Indoor Classic,"Feb 15, 2014"
,"Washington, Jacob",FR-1,8.45,2014 Hilltop Invite,"Feb 1, 2014"
