Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Seer, Diana",JR-3,11:24.90,MWC Conference Championships,"May 8, 2015"
,"Seer, Diana",JR-3,11:34.91,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Seer, Diana",JR-3,11:44.74,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"Teagle, Whitney",FR-1,12:41.84,MWC Conference Championships,"May 8, 2015"
,"O'Malley, Bridget",JR-3,12:45.40,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Teagle, Whitney",FR-1,12:47.27,Monmouth fighting Scots Outdoor-,"May 2, 2015"
,"O'Malley, Bridget",JR-3,12:54.33,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"Williams, Meta",FR-1,13:01.48,2015 Kip Janvrin Open,"Apr 23, 2015"
,"Williams, Meta",FR-1,13:17.14,2015 Jim Duncan Invitational,"Apr 10, 2015"
,"Williams, Meta",FR-1,13:37.22,MWC Conference Championships,"May 8, 2015"
