Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Hirakawa, Andy",SR,6.11m,"20' 0.5""",Kip Janvrin Open,"Apr 22, 2010",-1.5
,"Jenkins, Fernando",SR-4,5.99m,"19' 8""",Spartan Open,"May 1, 2010",2.9
,"Goldstein, Sam",SR,5.88m,"19' 3.5""",Spartan Open,"May 1, 2010",2.8
