Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Diamond-Berman, Mira",FR-1,42:13.29,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Ford, Sophia",FR-1,45:44.73,Midwest Conference Outdoor Championship,"May 13, 2022"
,"Mullen, Ginger",FR-1,48:52.57,Midwest Conference Outdoor Championship,"May 13, 2022"
