Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Staker, Sadie",SR-4,1:08.85,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Goodman, Jessie",SO-2,1:09.94,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Goodman, Jessie",SO-2,1:10.00,Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Staker, Sadie",SR-4,1:10.58,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Staker, Sadie",SR-4,1:10.70,2024 Kip Janvrin Open,"Apr 25, 2024"
,"Goodman, Jessie",SO-2,1:11.11,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Goodman, Jessie",SO-2,1:11.12,2024 Kip Janvrin Open,"Apr 25, 2024"
,"Staker, Sadie",SR-4,1:11.70,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Staker, Sadie",SR-4,1:13.04,Cornell Invitational,"Apr 6, 2024"
,"Staker, Sadie",SR-4,1:13.11,Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Goodman, Jessie",SO-2,1:14.01,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Goodman, Jessie",SO-2,1:14.83,Cornell Invitational,"Apr 6, 2024"
