Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Elliott-Rude, Eleanor",SO-2,4.79m,"15' 8.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.75m,"15' 7""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Oden, Melanie",SO-2,4.70m,"15' 5""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.70m,"15' 5""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Oden, Melanie",SO-2,4.69m,"15' 4.75""",Darren Young Classic,"Feb 11, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.64m,"15' 2.75""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Oden, Melanie",SO-2,4.63m,"15' 2.25""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Oden, Melanie",SO-2,4.62m,"15' 2""",Darren Young Classic,"Feb 11, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.62m,"15' 2""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.60m,"15' 1.25""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.59m,"15' 0.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.56m,"14' 11.5""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Oden, Melanie",SO-2,4.56m,"14' 11.5""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.55m,"14' 11.25""",Darren Young Classic,"Feb 11, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.51m,"14' 9.75""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.51m,"14' 9.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.49m,"14' 8.75""",Darren Young Classic,"Feb 11, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.49m,"14' 8.75""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Oden, Melanie",SO-2,4.48m,"14' 8.5""",Grinnell Opener,"Dec 9, 2022",NWI
,"Oden, Melanie",SO-2,4.48m,"14' 8.5""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.47m,"14' 8""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.47m,"14' 8""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.46m,"14' 7.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Oden, Melanie",SO-2,4.43m,"14' 6.5""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.43m,"14' 6.5""",Darren Young Classic,"Feb 11, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.43m,"14' 6.5""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.42m,"14' 6""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Oden, Melanie",SO-2,4.40m,"14' 5.25""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Oden, Melanie",SO-2,4.37m,"14' 4""",Liz Wuertz Indoor Meet,"Feb 18, 2023",NWI
,"Oden, Melanie",SO-2,4.30m,"14' 1.25""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.28m,"14' 0.5""",Grinnell Opener,"Dec 9, 2022",NWI
,"Oden, Melanie",SO-2,4.26m,"13' 11.75""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.26m,"13' 11.75""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Oden, Melanie",SO-2,4.24m,"13' 11""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Elliott-Rude, Eleanor",SO-2,4.21m,"13' 9.75""",Grinnell Invitational,"Jan 28, 2023",NWI
,"Oden, Melanie",SO-2,4.19m,"13' 9""",Grinnell Opener,"Dec 9, 2022",NWI
,"Elliott-Rude, Eleanor",SO-2,4.17m,"13' 8.25""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.15m,"13' 7.5""",Grinnell Opener,"Dec 9, 2022",NWI
,"Oden, Melanie",SO-2,4.12m,"13' 6.25""",Darren Young Classic,"Feb 11, 2023",NWI
,"Oden, Melanie",SO-2,4.04m,"13' 3.25""",Hilltop Invitational,"Jan 21, 2023",NWI
,"Vollmayr-Lee, Mira",FR-1,3.88m,"12' 8.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Vollmayr-Lee, Mira",FR-1,3.85m,"12' 7.75""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023",NWI
,"Vollmayr-Lee, Mira",FR-1,3.72m,"12' 2.5""",Darren Young Classic,"Feb 11, 2023",NWI
