Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Miyamoto, Keely",FR-1,17:58.00,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Miyamoto, Keely",FR-1,18:10.56,Darren Young Classic,"Feb 11, 2023"
,"Miyamoto, Keely",FR-1,18:28.60,Grinnell Invitational,"Jan 28, 2023"
,"Schaefer, Emma",SR-4,19:01.19,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Schaefer, Emma",SR-4,19:07.31,Darren Young Classic,"Feb 11, 2023"
,"Diamond-Berman, Mira",SO-2,19:20.10,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Roark, Hannah",FR-1,19:42.11,Grinnell Invitational,"Jan 28, 2023"
,"Diamond-Berman, Mira",SO-2,19:57.47,Darren Young Classic,"Feb 11, 2023"
,"Barba, Diana",FR-1,19:58.23,Grinnell Invitational,"Jan 28, 2023"
,"Barba, Diana",FR-1,20:15.76,Darren Young Classic,"Feb 11, 2023"
,"Ford, Sophia",SO-2,20:34.09,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Ford, Sophia",SO-2,20:34.69,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Ford, Sophia",SO-2,20:41.69,Grinnell Invitational,"Jan 28, 2023"
,"Ford, Sophia",SO-2,20:51.34,Darren Young Classic,"Feb 11, 2023"
