Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Kaczmarczyk, Crystal",SO-2,2:28.17,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Kaczmarczyk, Crystal",SO-2,2:33.22,Darren Young Classic,"Feb 11, 2023"
,"Elliott-Rude, Eleanor",SO-2,2:33.59,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Elliott-Rude, Eleanor",SO-2,2:34.92,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Reid, Sam",SO-2,2:35.78,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Sheehan-Klenk, Julia",SO-2,2:36.01,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Elliott-Rude, Eleanor",SO-2,2:36.28,Grinnell Invitational,"Jan 28, 2023"
,"Reid, Sam",SO-2,2:36.54,Hilltop Invitational,"Jan 21, 2023"
,"Mullen, Ginger",SO-2,2:36.95,Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Sheehan-Klenk, Julia",SO-2,2:37.07,Hilltop Invitational,"Jan 21, 2023"
,"Elliott-Rude, Eleanor",SO-2,2:38.87,Darren Young Classic,"Feb 11, 2023"
,"Mullen, Ginger",SO-2,2:40.85,Grinnell Invitational,"Jan 28, 2023"
,"Rabbani, Allison",SO-2,2:42.30,Darren Young Classic,"Feb 11, 2023"
,"Mullen, Ginger",SO-2,2:43.10,Darren Young Classic,"Feb 11, 2023"
,"Rabbani, Allison",SO-2,2:43.17,Grinnell Invitational,"Jan 28, 2023"
,"Charron, Grace",FR-1,2:44.12,Darren Young Classic,"Feb 11, 2023"
,"Klassen, Kylie",SO-2,2:46.41,Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Charron, Grace",FR-1,2:47.15,Grinnell Invitational,"Jan 28, 2023"
