Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Ajinjeru, Christine",SO-2,1:00.90,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Miller, Isabelle",JR-3,1:01.75,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Ajinjeru, Christine",SO-2,1:01.92,Darren Young Classic,"Feb 11, 2012"
,"Jensen, Sarah",FR-1,1:03.77,Darren Young Classic,"Feb 11, 2012"
,"Pinnette, Ellen",FR-1,1:05.99,Wartburg Invitational,"Feb 18, 2012"
,"Pinnette, Ellen",FR-1,1:06.63,Darren Young Classic,"Feb 11, 2012"
,"Pinnette, Ellen",FR-1,1:06.84,2012 Hilltop Invite,"Feb 4, 2012"
,"Nahib, Nilob",JR-3,1:17.66,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Nahib, Nilob",JR-3,1:17.88,Wartburg Invitational,"Feb 18, 2012"
,"Nahib, Nilob",JR-3,1:17.93,Darren Young Classic,"Feb 11, 2012"
,"Nahib, Nilob",JR-3,1:18.07,2012 Hilltop Invite,"Feb 4, 2012"
