Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date,Wind
,"Miller, Eloise",FR-1,11.31m,"37' 1.25""",Iowa State Qualifier,"Mar 3, 2012",0.0
,"Miller, Eloise",FR-1,11.24m,"36' 10.5""",Darren Young Classic,"Feb 11, 2012",0.0
,"Miller, Eloise",FR-1,11.00m,"36' 1.25""",Darren Young Classic,"Feb 11, 2012",0.0
,"Miller, Eloise",FR-1,10.96m,"35' 11.5""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Miller, Eloise",FR-1,10.95m,"35' 11.25""",Darren Young Classic,"Feb 11, 2012",0.0
,"Miller, Eloise",FR-1,10.91m,"35' 9.5""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Miller, Eloise",FR-1,10.88m,"35' 8.5""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Miller, Eloise",FR-1,10.79m,"35' 5""",2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Miller, Eloise",FR-1,10.76m,"35' 3.75""",2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Miller, Eloise",FR-1,10.75m,"35' 3.25""",Wartburg Invitational,"Feb 18, 2012",0.0
,"Miller, Eloise",FR-1,10.66m,"34' 11.75""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Miller, Eloise",FR-1,10.65m,"34' 11.25""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Miller, Eloise",FR-1,10.65m,"34' 11.25""",Darren Young Classic,"Feb 11, 2012",0.0
,"Miller, Eloise",FR-1,10.64m,"34' 11""",Darren Young Classic,"Feb 11, 2012",0.0
,"Miller, Eloise",FR-1,10.64m,"34' 11""",Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Miller, Eloise",FR-1,10.60m,"34' 9.5""",2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Miller, Eloise",FR-1,10.59m,"34' 9""",2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Miller, Eloise",FR-1,10.43m,"34' 2.75""",Darren Young Classic,"Feb 11, 2012",0.0
,"Miller, Eloise",FR-1,10.28m,"33' 8.75""",2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Miller, Eloise",FR-1,10.20m,"33' 5.75""",Wartburg Invitational,"Feb 18, 2012",0.0
