Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Burnell, Sarah",SO-2,5:07.65,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Burnell, Sarah",SO-2,5:12.55,2012 Hilltop Invite,"Feb 4, 2012"
,"Burnell, Sarah",SO-2,5:13.28,Darren Young Classic,"Feb 11, 2012"
,"Rouse, Stephanie",JR-3,5:30.20,2012 Hilltop Invite,"Feb 4, 2012"
,"Rudy, Meg",SO-2,5:33.17,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Bisignano, Catherine",SR-4,5:35.14,Midwest Conference Indoor T&F Championships,"Feb 24, 2012"
,"Bisignano, Catherine",SR-4,5:35.51,Wartburg Invitational,"Feb 18, 2012"
,"Rudy, Meg",SO-2,5:37.43,Darren Young Classic,"Feb 11, 2012"
,"Rudy, Meg",SO-2,5:37.46,2012 Hilltop Invite,"Feb 4, 2012"
,"Seer, Diana",FR-1,5:39.31,2012 Hilltop Invite,"Feb 4, 2012"
,"Bisignano, Catherine",SR-4,5:42.81,Dutch Athletics Classic,"Jan 27, 2012"
,"Bisignano, Catherine",SR-4,5:44.66,Darren Young Classic,"Feb 11, 2012"
,"Bisignano, Catherine",JR-3,5:45.64,2012 Hilltop Invite,"Feb 4, 2012"
,"Emery, Lauren",SO-2,5:51.45,Wartburg Invitational,"Feb 18, 2012"
,"Brosius, Daria",FR-1,6:09.07,Darren Young Classic,"Feb 11, 2012"
,"Haro, Gina",SO-2,6:18.81,Darren Young Classic,"Feb 11, 2012"
,"Dysart, Jennifer",FR-1,6:19.37,Darren Young Classic,"Feb 11, 2012"
,"Stuchiner, Emily",FR-1,6:20.65,Darren Young Classic,"Feb 11, 2012"
