Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Robinson, Luke",SO-2,3:57.39,Midwest Conference Outdoor Championships,"May 10, 2024"
,"Heagy, Connor",SO-2,4:01.91,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Chestovich, Andy",SO-2,4:09.39,Jim Duncan Invitational,"Apr 12, 2024"
,"Goodell, Brian",SR-4,4:09.67,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Hill, Ryan",FR-1,4:10.98,2024 Kip Janvrin Open,"Apr 25, 2024"
,"Snyder, James",SO-2,4:14.90,Cornell Invitational,"Apr 6, 2024"
,"Miller, John",SO-2,4:15.98,Grinnell College Dick Young Classic,"Apr 20, 2024"
,"Manza, Sebastian",FR-1,4:21.20,Cornell Invitational,"Apr 6, 2024"
,"Ramsey, Bradley",SR-4,4:22.34,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Williams, Carter",JR-3,4:24.67,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
,"Beck, Sam",FR-1,4:25.68,Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Krysan, Mark",JR-3,4:29.99,Cornell Invitational,"Apr 6, 2024"
,"Pollock, Alexander",FR-1,4:37.69,Monmouth College Fighting Scots Invite,"May 4, 2024"
,"Ching, Tyler",SO-2,4:42.22,16th Annual PLNU Track and Field Invitational,"Mar 23, 2024"
