Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Tyree, Isaiah",SO-2,1:00.66,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Tyree, Isaiah",SO-2,1:01.09,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Edwards, Ronald",JR-3,1:01.61,Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Tyree, Isaiah",SO-2,1:02.22,Central College Open,"Apr 20, 2013"
,"Tyree, Isaiah",SO-2,1:02.54,Kip Janvrin Open,"Apr 25, 2013"
,"Tyree, Isaiah",SO-2,1:02.70,Walt Disney World Invitational,"Mar 22, 2013"
,"Edwards, Ronald",JR-3,1:04.33,2013 Monmouth Fighting Scots,"May 4, 2013"
,"Shields, Windom",FR-1,1:04.36,Kip Janvrin Open,"Apr 25, 2013"
,"Shields, Windom",FR-1,1:05.33,Central College Open,"Apr 20, 2013"
,"Shields, Windom",FR-1,1:06.87,Cornell College Invitational,"Apr 6, 2013"
